iter	Passed	Remaining
400	18097	27033
401	18139	26984
402	18184	26938
403	18222	26882
404	18261	26828
405	18303	26778
406	18348	26734
407	18393	26688
408	18439	26645
409	18483	26597
410	18526	26550
411	18570	26503
412	18617	26460
413	18661	26414
414	18706	26368
415	18748	26320
416	18793	26274
417	18836	26227
418	18879	26178
419	18917	26124
420	18961	26077
421	19005	26031
422	19041	25974
423	19077	25916
424	19122	25872
425	19166	25824
426	19212	25781
427	19257	25736
428	19299	25687
429	19339	25635
430	19378	25583
431	19430	25547
432	19491	25523
433	19540	25484
434	19595	25451
435	19643	25410
436	19694	25373
437	19743	25333
438	19795	25296
439	19844	25257
440	19887	25208
441	19934	25166
442	19987	25131
443	20038	25093
444	20088	25054
445	20138	25014
446	20179	24965
447	20229	24925
448	20281	24888
449	20335	24854
450	20386	24816
451	20431	24770
452	20479	24729
453	20530	24691
454	20588	24661
455	20638	24621
456	20689	24582
457	20743	24547
458	20794	24509
459	20850	24476
460	20906	24444
461	20958	24406
462	21011	24369
463	21063	24332
464	21117	24296
465	21178	24268
466	21234	24235
467	21287	24198
468	21341	24162
469	21394	24126
470	21448	24089
471	21499	24050
472	21544	24004
473	21591	23960
474	21637	23914
475	21681	23867
476	21724	23819
477	21771	23775
478	21817	23730
479	21859	23681
480	21902	23633
481	21946	23586
482	21988	23536
483	22032	23489
484	22075	23441
485	22118	23393
486	22161	23344
487	22204	23296
488	22247	23248
489	22297	23208
490	22342	23161
491	22386	23114
492	22430	23067
493	22475	23020
494	22521	22976
495	22566	22930
496	22607	22880
497	22650	22832
498	22695	22786
499	22740	22740
500	22784	22693
501	22830	22648
502	22873	22601
503	22917	22553
504	22954	22499
505	22997	22452
506	23040	22403
507	23083	22356
508	23127	22309
509	23170	22261
510	23211	22212
511	23257	22167
512	23302	22121
513	23346	22075
514	23393	22030
515	23468	22013
516	23538	21990
517	23599	21959
518	23653	21921
519	23699	21876
520	23749	21835
521	23799	21793
522	23844	21747
523	23889	21701
524	23934	21655
525	23978	21608
526	24022	21561
527	24064	21512
528	24110	21466
529	24155	21420
530	24196	21371
531	24239	21323
532	24282	21275
533	24326	21228
534	24371	21182
535	24416	21136
536	24459	21089
537	24505	21043
538	24533	20983
539	24576	20935
540	24622	20890
541	24666	20843
542	24710	20796
543	24753	20749
544	24795	20700
545	24838	20653
546	24884	20608
547	24928	20561
548	24971	20514
549	25015	20467
550	25058	20419
551	25101	20371
552	25143	20323
553	25186	20276
554	25232	20231
555	25275	20184
556	25320	20138
557	25365	20092
558	25407	20044
559	25452	19998
560	25497	19952
561	25540	19905
562	25585	19859
563	25629	19812
564	25673	19766
565	25715	19718
566	25758	19670
567	25801	19623
568	25843	19575
569	25884	19526
570	25928	19480
571	25981	19440
572	26031	19398
573	26083	19357
574	26135	19317
575	26187	19276
576	26227	19227
577	26281	19188
578	26331	19146
579	26382	19104
580	26434	19063
581	26487	19023
582	26539	18982
583	26588	18939
584	26638	18897
585	26685	18853
586	26729	18806
587	26773	18759
588	26819	18714
589	26862	18667
590	26906	18620
591	26950	18573
592	26993	18527
593	27033	18477
594	27079	18432
595	27124	18386
596	27168	18339
597	27212	18293
598	27256	18246
599	27299	18199
600	27344	18153
601	27389	18107
602	27431	18060
603	27475	18013
604	27520	17968
605	27569	17924
606	27615	17879
607	27660	17833
608	27704	17787
609	27748	17740
610	27791	17693
611	27834	17646
612	27878	17600
613	27925	17556
614	27969	17509
615	28015	17463
616	28059	17418
617	28102	17371
618	28145	17323
619	28189	17277
620	28243	17237
621	28292	17193
622	28341	17150
623	28375	17098
624	28426	17055
625	28476	17013
626	28525	16969
627	28578	16928
628	28628	16886
629	28681	16844
630	28733	16803
631	28783	16760
632	28834	16717
633	28885	16675
634	28935	16632
635	28986	16589
636	29034	16545
637	29083	16502
638	29132	16458
639	29179	16413
640	29222	16366
641	29269	16321
642	29321	16279
643	29373	16237
644	29422	16193
645	29473	16151
646	29527	16109
647	29581	16068
648	29626	16023
649	29671	15976
650	29708	15926
651	29752	15880
652	29797	15834
653	29841	15787
654	29884	15740
655	29927	15693
656	29971	15647
657	30015	15600
658	30058	15553
659	30102	15507
660	30144	15459
661	30188	15413
662	30231	15366
663	30275	15319
664	30318	15273
665	30363	15227
666	30409	15181
667	30452	15135
668	30497	15089
669	30543	15043
670	30580	14993
671	30626	14948
672	30670	14902
673	30712	14854
674	30753	14807
675	30795	14759
676	30838	14713
677	30882	14666
678	30926	14620
679	30971	14575
680	31013	14527
681	31061	14483
682	31106	14437
683	31150	14391
684	31192	14344
