iter	RMSE
325	19.8851485
326	19.87586705
327	19.87303059
328	19.86863876
329	19.86485212
330	19.86048186
331	19.85449133
332	19.85130263
333	19.84472922
334	19.83887701
335	19.83210346
336	19.82589109
337	19.82182294
338	19.81722345
339	19.81244175
340	19.80705248
341	19.80196583
342	19.79657476
343	19.78896845
344	19.78278139
345	19.77930183
346	19.77489523
347	19.77002902
348	19.76681936
349	19.76431215
350	19.75865988
351	19.75495536
352	19.74924918
353	19.74280692
354	19.73292593
355	19.72715323
356	19.72459581
357	19.71931653
358	19.71688282
359	19.71223005
360	19.70496171
361	19.69882802
362	19.69521352
363	19.69239027
364	19.69028731
365	19.68577465
366	19.68210626
367	19.67464467
368	19.67159421
369	19.66846248
370	19.66307773
371	19.65776068
372	19.65152275
373	19.64713305
374	19.64217067
375	19.63466851
376	19.62987386
377	19.62505566
378	19.62205521
379	19.61751587
380	19.61309229
381	19.60698733
382	19.60356372
383	19.59703439
384	19.59225384
385	19.58863122
386	19.58553963
387	19.58215702
388	19.5760126
389	19.57176421
390	19.57002858
391	19.56587034
392	19.55970029
393	19.5548036
394	19.55226426
395	19.54652677
396	19.535948
397	19.53378925
398	19.52994027
399	19.52622165
400	19.51879611
401	19.51481988
402	19.50901913
403	19.50732
404	19.50313671
405	19.49760517
406	19.49319396
407	19.48894014
408	19.48340648
409	19.47737195
410	19.47158808
411	19.46505256
412	19.45908682
413	19.45628565
414	19.45452982
415	19.44984347
416	19.44373997
417	19.43910518
418	19.43264206
419	19.43191108
420	19.42806812
421	19.42518991
422	19.42431493
423	19.42431085
424	19.42028107
425	19.41568434
426	19.41235143
427	19.40900134
428	19.40656688
429	19.4031346
430	19.40023757
431	19.39812689
432	19.39406362
433	19.39074756
434	19.38593942
435	19.38193118
436	19.37939673
437	19.37266449
438	19.36595379
439	19.36258997
440	19.36198989
441	19.35843839
442	19.35219683
443	19.34786911
444	19.34497104
445	19.34054423
446	19.33935753
447	19.33671516
448	19.33287917
449	19.32752003
450	19.32319308
451	19.3183071
452	19.3157194
453	19.31068804
454	19.30608291
455	19.303177
456	19.30045536
457	19.29579351
458	19.29442072
459	19.29169874
460	19.2872884
461	19.28325733
462	19.27767445
463	19.27336455
464	19.26783644
465	19.26538289
466	19.25774741
467	19.25473782
468	19.25221359
469	19.24757456
470	19.24350339
471	19.23952502
472	19.23550196
473	19.23120786
474	19.22755788
475	19.22348563
476	19.21937924
477	19.21440289
478	19.21251224
479	19.21027074
480	19.20641784
481	19.20203547
482	19.19839692
483	19.19068917
484	19.18684292
485	19.18107691
486	19.1768728
487	19.17400452
488	19.17095905
489	19.16630322
490	19.15809412
491	19.15556177
492	19.15304956
493	19.14718873
494	19.14344949
495	19.13857622
496	19.13352852
497	19.13058312
498	19.12623188
499	19.12096772
500	19.11845444
501	19.11439751
502	19.11123596
503	19.10763181
504	19.10663062
505	19.10300628
506	19.10047638
507	19.09841217
508	19.09487745
509	19.092785
510	19.08960968
511	19.08588538
512	19.0823221
513	19.07952528
514	19.07685209
515	19.07391063
516	19.0703423
517	19.06599429
518	19.06285907
519	19.06192151
520	19.05703628
521	19.05311197
522	19.04936402
523	19.04636667
524	19.03934979
525	19.03457705
526	19.03197507
527	19.02468599
528	19.02119403
529	19.01734498
530	19.01425287
531	19.01057468
532	19.00370918
533	19.00081887
534	18.99768375
535	18.9918263
536	18.98937383
537	18.98444151
538	18.98418274
539	18.97996391
540	18.97626704
541	18.97332635
542	18.97125284
543	18.96786536
544	18.96509888
545	18.96391535
546	18.959158
547	18.95360694
548	18.95042493
549	18.94645851
550	18.94079158
551	18.93622366
552	18.93344072
553	18.92893569
554	18.92311989
555	18.91970671
556	18.91301668
557	18.90719301
558	18.90440977
559	18.9013224
560	18.89714115
561	18.89305484
562	18.8866792
563	18.88162964
564	18.87657094
565	18.87385793
566	18.87076524
567	18.86785363
568	18.86566063
569	18.86397652
570	18.85887565
571	18.85580935
572	18.8527915
573	18.84834294
574	18.84501174
575	18.8372563
576	18.83700545
577	18.83362146
578	18.83026093
579	18.82603446
580	18.82364926
581	18.82062205
582	18.81640086
583	18.81157196
584	18.80544838
585	18.80176412
586	18.79876032
587	18.7958133
588	18.79076884
589	18.78532618
590	18.78205336
591	18.77824304
592	18.77549225
593	18.77330168
594	18.76915714
595	18.76414905
596	18.76261625
597	18.76036857
598	18.756843
599	18.75241367
600	18.74905705
601	18.74439998
602	18.73963458
603	18.73454322
604	18.73062645
605	18.72752215
606	18.72529162
607	18.72055701
608	18.71756224
609	18.71401912
610	18.71182555
611	18.70920171
612	18.70460031
613	18.69992574
614	18.69763561
615	18.69351242
616	18.69219423
617	18.68651213
618	18.68059346
619	18.67654849
620	18.67486526
621	18.66944522
622	18.66664094
623	18.66640741
624	18.66492127
625	18.66194461
626	18.6550312
627	18.65209515
628	18.64964288
629	18.64459441
630	18.64109836
631	18.6384809
632	18.63324504
633	18.63023382
634	18.62712909
635	18.62284555
636	18.61617815
637	18.61259455
638	18.60803155
639	18.60563871
640	18.60309807
641	18.5986716
642	18.59662761
643	18.59255641
644	18.58880014
645	18.58591087
646	18.58263489
647	18.57999699
648	18.57608821
649	18.57220013
650	18.57128864
651	18.56745452
652	18.56251214
653	18.55903448
654	18.55390599
655	18.55105087
656	18.54840489
657	18.5447145
658	18.54262938
659	18.54005368
660	18.5381617
661	18.53155508
662	18.52662101
663	18.52525674
664	18.52142124
665	18.51526902
666	18.51073184
667	18.50719313
668	18.50464754
669	18.49964632
670	18.49923007
671	18.49660561
672	18.49311173
673	18.49091567
674	18.48746234
675	18.48321382
676	18.47882662
677	18.47353552
678	18.46665356
679	18.46170754
680	18.45691189
681	18.45360308
682	18.45125811
683	18.44939841
684	18.44649326
